director,title,year,rating,boxOffice
Steven Spielberg,E.T. the Extra-Terrestrial,1982,7.9,1152621000
Steven Spielberg,The Sugarland Express,1974,6.8,37179100
Steven Spielberg,Empire of the Sun,1987,7.8,51173400
Steven Spielberg,Firelight,1964,5.9,1552500
Steven Spielberg,The Lost World: Jurassic Park,1997,6.5,462665200
Steven Spielberg,The Color Purple,1985,7.8,235757100
Steven Spielberg,Munich,2005,7.6,67382900
Steven Spielberg,War of the Worlds,2005,6.5,338811100
Steven Spielberg,A.I. Artificial Intelligence,2001,7.1,128759100
Steven Spielberg,Always,1989,6.4,97147400
Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,409404900
Steven Spielberg,Hook,1991,6.7,265937100
Steven Spielberg,Schindler's List,1993,8.9,213142600
Steven Spielberg,The Post,2017,7.2,82878300
Steven Spielberg,The Adventures of Tintin,2011,7.3,91302600
Steven Spielberg,Raiders of the Lost Ark,1981,8.5,716006700
Steven Spielberg,Indiana Jones and the Last Crusade,1989,8.3,458090900
Steven Spielberg,Twilight Zone: The Movie,1983,6.5,86669900
Steven Spielberg,Jaws,1975,8.0,1187290600
Steven Spielberg,Catch Me If You Can,2002,8.1,254147800
Steven Spielberg,Close Encounters of the Third Kind,1977,7.7,461105100
Steven Spielberg,Minority Report,2002,7.7,210725600
Steven Spielberg,1941,1979,5.8,117281200
Steven Spielberg,Bridge of Spies,2015,7.6,77079400
Steven Spielberg,Amistad,1997,7.3,87963800
Steven Spielberg,Lincoln,2012,7.4,210726000
Steven Spielberg,Jurassic Park,1993,8.1,799128100
Steven Spielberg,Indiana Jones and the Temple of Doom,1984,7.6,496249200
Steven Spielberg,The BFG,2016,6.4,60435500
Steven Spielberg,Ready Player One,2018,7.6,135695200
Steven Spielberg,The Terminal,2004,7.3,116245000
Steven Spielberg,Saving Private Ryan,1998,8.6,424075400
Steven Spielberg,War Horse,2011,7.2,93847100
Stanley Kubrick,A Clockwork Orange,1971,8.3,144990200
Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,91348100
Stanley Kubrick,2001: A Space Odyssey,1968,8.3,401337000
Stanley Kubrick,Lolita,1962,7.6,122496400
Stanley Kubrick,Barry Lyndon,1975,8.1,90439000
Stanley Kubrick,The Shining,1980,8.4,151688100
Stanley Kubrick,Spartacus,1960,7.9,24594400
Stanley Kubrick,Eyes Wide Shut,1999,7.4,101625500
Stanley Kubrick,Full Metal Jacket,1987,8.3,109906800
Christopher Nolan,Dunkirk,2017,8.0,195162900
Christopher Nolan,The Dark Knight Rises,2012,8.4,533783300
Christopher Nolan,Memento,2000,8.5,41837600
Christopher Nolan,The Dark Knight,2008,9.0,688473800
Christopher Nolan,The Prestige,2006,8.5,75084300
Christopher Nolan,Insomnia,2002,7.2,107467400
Christopher Nolan,Following,1998,7.6,88500
Christopher Nolan,Batman Begins,2005,8.3,296963600
Christopher Nolan,Inception,2010,8.8,351546400
Christopher Nolan,Interstellar,2014,8.6,210331000
Quentin Tarantino,Jackie Brown,1997,7.5,78570700
Quentin Tarantino,Reservoir Dogs,1992,8.3,6326000
Quentin Tarantino,Kill Bill: Vol. 2,2004,8.0,98832500
Quentin Tarantino,Kill Bill: Vol. 1,2003,8.1,107739400
Quentin Tarantino,Pulp Fiction,1994,8.9,235334800
Quentin Tarantino,Grindhouse,2007,7.6,33735700
Quentin Tarantino,Django Unchained,2012,8.4,189504200
Quentin Tarantino,The Hateful Eight,2015,7.8,58268700
Quentin Tarantino,Inglourious Basterds,2009,8.3,149571600
Lilly & Lana Wachowski,Bound,1996,7.4,7974400
Lilly & Lana Wachowski,Jupiter Ascending,2015,5.3,54041100
Lilly & Lana Wachowski,Cloud Atlas,2012,7.5,31222200
Lilly & Lana Wachowski,The Matrix,1999,8.7,312917100
Lilly & Lana Wachowski,Speed Racer,2008,6.0,56737800
Lilly & Lana Wachowski,The Matrix Reloaded,2003,7.2,432871300
Lilly & Lana Wachowski,The Matrix Revolutions,2003,6.7,214094500
Michael Bay,Transformers: The Last Knight,2017,5.2,134927300
Michael Bay,Transformers: Dark of the Moon,2011,6.3,410298500
Michael Bay,13 Hours,2016,7.3,57103600
Michael Bay,Transformers: Age of Extinction,2014,5.7,281582100
Michael Bay,Transformers: Revenge of the Fallen,2009,6.0,499661600
Michael Bay,Pain & Gain,2013,6.4,55212400
Michael Bay,Bad Boys II,2003,6.6,213084600
Michael Bay,Bad Boys,1995,6.8,140237100
Michael Bay,Transformers,2007,7.1,430147100
Michael Bay,The Island,2005,6.9,54161700
Michael Bay,Armageddon,1998,6.6,398428500
Michael Bay,Pearl Harbor,2001,6.1,325174800
Michael Bay,The Rock,1996,7.4,281182000
Ridley Scott,Alien,1979,8.5,291561400
Ridley Scott,1492: Conquest of Paradise,1992,6.5,16063700
Ridley Scott,Robin Hood,2010,6.7,123906700
Ridley Scott,Alien: Covenant,2017,6.4,76919000
Ridley Scott,Thelma & Louise,1991,7.4,99880200
Ridley Scott,The Counsellor,2013,5.3,18845500
Ridley Scott,Blade Runner,1982,8.2,86961800
Ridley Scott,Gladiator,2000,8.5,322726200
Ridley Scott,Matchstick Men,2003,7.3,56736800
Ridley Scott,Legend,1985,6.5,38734400
Ridley Scott,Kingdom of Heaven,2005,7.2,68546500
Ridley Scott,Black Rain,1989,6.6,107905700
Ridley Scott,A Good Year,2006,7.0,10554200
Ridley Scott,White Squall,1996,6.6,21585900
Ridley Scott,Prometheus,2012,7.0,145045000
Ridley Scott,Black Hawk Down,2001,7.7,173335800
Ridley Scott,American Gangster,2007,7.8,175300600
Ridley Scott,G.I. Jane,1997,5.9,97282800
Ridley Scott,All the Money in the World,2017,6.9,25399600
Ridley Scott,The Martian,2015,8.0,243446000
Ridley Scott,Someone to Watch Over Me,1987,6.1,24368800
Ridley Scott,Exodus: Gods and Kings,2014,6.0,73089100
Ridley Scott,Body of Lies,2008,7.1,50846000
Ridley Scott,Hannibal,2001,6.8,270389600
Guillermo del Toro,Blade II,2002,6.7,131388800
Guillermo del Toro,The Shape of Water,2017,7.4,64592200
Guillermo del Toro,Hellboy II: The Golden Army,2008,7.0,98105100
Guillermo del Toro,The Devil's Backbone,2001,7.5,1216800
Guillermo del Toro,Cronos,1993,6.7,1378100
Guillermo del Toro,Pan's Labyrinth,2006,8.2,50708300
Guillermo del Toro,Pacific Rim,2013,6.9,120350600
Guillermo del Toro,Mimic,1997,5.9,51460600
Guillermo del Toro,Hellboy,2004,6.9,89003900
Guillermo del Toro,Crimson Peak,2015,6.5,33127300
