year	imdbId	title	originalTitle	genre1	genre2	genre3	boxOffice	rank	category	winner
2020		Jojo Rabbit	Jojo Rabbit	Comedy	Drama	War	21981387	66	Best Picture	false
2020		Joker	Joker	Crime	Drama	Thriller	334046521	8	Best Picture	false
2020		Les filles du Docteur March	Little Women	Drama	Romance		74031009	25	Best Picture	false
2020		1917	1917	Drama	War		39221279	45	Best Picture	false
2020		Once Upon a Time... in Hollywood	Once Upon a Time... in Hollywood	Comedy	Drama		141103164	16	Best Picture	false
2020		Parasite	Parasite	Comedy	Drama	Thriller	25368736	62	Best Picture	false
2020		Le Mans 66	Ford v Ferrari	Action	Biography	Drama	111424605	21	Best Picture	false
2020		Joker	Joker	Crime	Drama	Thriller	334046521	8	Best Directing	false
2020		1917	1917	Drama	War		39221279	45	Best Directing	false
2020		Once Upon a Time... in Hollywood	Once Upon a Time... in Hollywood	Comedy	Drama		141103164	16	Best Directing	false
2020		Parasite	Parasite	Comedy	Drama	Thriller	25368736	62	Best Directing	false
2020		1917	1917	Drama	War		39221279	45	Best Original Screenplay	false
2020		Once Upon a Time... in Hollywood	Once Upon a Time... in Hollywood	Comedy	Drama		141103164	16	Best Original Screenplay	false
2020		Parasite	Parasite	Comedy	Drama	Thriller	25368736	62	Best Original Screenplay	false
2020		À couteaux tirés	Knives Out	Comedy	Crime	Drama	139621744	17	Best Original Screenplay	false
2020		Joker	Joker	Crime	Drama	Thriller	334046521	8	Best Adapted Screenplay	false
2020		Jojo Rabbit	Jojo Rabbit	Comedy	Drama	War	21981387	66	Best Adapted Screenplay	false
2020		La Voie de la Justice	Just Mercy	Drama			10435988	86	Best Adapted Screenplay	false
2020		Les filles du Docteur March	Little Women	Drama	Romance		74031009	25	Best Adapted Screenplay	false
2020		Joker	Joker	Crime	Drama	Thriller	334046521	8	Best Cinematography	false
2020		1917	1917	Drama	War		39221279	45	Best Cinematography	false
2020		Once Upon a Time... in Hollywood	Once Upon a Time... in Hollywood	Comedy	Drama		141103164	16	Best Cinematography	false
2020		The Lighthouse	The Lighthouse	Drama	Fantasy	Horror	10825163	85	Best Cinematography	false
2020		Star Wars: Episode IX – L'ascension de Skywalker	Star Wars: Episode IX - The Rise of Skywalker	Action	Adventure	Fantasy	478169690	3	Best Visual Effects	false
2020		Avengers: Endgame	Avengers: Endgame	Action	Adventure	Drama	858373000	1	Best Visual Effects	false
2020		1917	1917	Drama	War		39221279	45	Best Visual Effects	false
2020		Le Roi Lion	The Lion King	Animation	Adventure	Drama	543638043	2	Best Visual Effects	false
2019	1825683	Black Panther	Black Panther	Action	Adventure	Sci-Fi	700059566	1	Best Picture	false
2019	7349662	BlacKkKlansman - J'ai infiltré le Ku Klux Klan	BlacKkKlansman	Biography	Crime	Drama	48271960	58	Best Picture	false
2019	1727824	Bohemian Rhapsody	Bohemian Rhapsody	Biography	Drama	Musical	194917649	13	Best Picture	false
2019	5083738	La favorite	The Favourite	Biography	Comedy	Drama	20118036	101	Best Picture	false
2019	6966692	Green Book: Sur les routes du sud	Green Book	Biography	Comedy	Drama	36164601	74	Best Picture	true
2019	1517451	A Star Is Born	A Star Is Born	Drama	Music	Romance	202322968	12	Best Picture	false
