year	imdbId	title	genre1	genre2	genre3
2018	1825683	Black Panther	Action	Adventure	Sci-Fi
2018	4154756	Avengers: Infinity War	Action	Adventure	Fantasy
2018	3606756	Les indestructibles 2	Animation	Action	Adventure
2018	4881806	Jurassic World: Fallen Kingdom	Action	Adventure	Sci-Fi
2018	5463162	Deadpool 2	Action	Adventure	Comedy
2018	2709692	Le Grinch	Animation	Comedy	Family
2018	1477834	Aquaman	Action	Adventure	Fantasy
2018	4912910	Mission impossible: Fallout	Action	Adventure	Thriller
2018	5095030	Ant-Man et la Guêpe	Action	Adventure	Comedy
2018	3778644	Solo: A Star Wars Story	Action	Adventure	Fantasy
2018	1270797	Venom	Action	Sci-Fi	
2018	1517451	A Star Is Born	Drama	Music	Romance
2018	1727824	Bohemian Rhapsody	Biography	Drama	Music
2018	5848272	Ralph 2.0	Animation	Adventure	Comedy
2018	6644200	Sans un bruit	Drama	Horror	Mystery
2018	3104988	Crazy Rich Asians	Comedy	Romance	
2018	5220122	Hotel Transylvania 3: Summer Vacation	Animation	Adventure	Comedy
2018	1502407	Halloween	Horror	Thriller	
2018	4123430	Les animaux fantastiques: Les crimes de Grindelwald	Adventure	Family	Fantasy
2018	4779682	En eaux troubles	Action	Horror	Sci-Fi
2017	2527336	Star Wars: Episode VIII - Les derniers Jedi	Action	Adventure	Fantasy
2017	2771200	La Belle et la Bête	Family	Fantasy	Musical
2017	0451279	Wonder Woman	Action	Adventure	Fantasy
2017	2283362	Jumanji: Bienvenue dans la jungle	Action	Adventure	Comedy
2017	3896198	Les gardiens de la galaxie Vol. 2	Action	Adventure	Comedy
2017	2250912	Spider-Man: Homecoming	Action	Adventure	Sci-Fi
2017	1396484	Ça	Horror	Thriller	
2017	3501632	Thor Ragnarok	Action	Adventure	Comedy
2017	3469046	Moi, moche et méchant 3	Animation	Action	Adventure
2017	0974015	Justice League	Action	Adventure	Fantasy
2017	3315342	Logan	Action	Drama	Sci-Fi
2017	4630562	Fast & Furious 8	Action	Crime	Thriller
2017	2380307	Coco	Animation	Adventure	Comedy
2017	5013056	Dunkerque	Drama	History	Thriller
2017	5052448	Get Out	Horror	Mystery	Thriller
2017	4116284	Lego Batman, le film	Animation	Action	Comedy
2017	3874544	Baby Boss	Animation	Adventure	Comedy
2017	1485796	The Greatest Showman	Biography	Drama	Musical
2017	1790809	Pirates des Caraïbes: la Vengeance de Salazar	Action	Adventure	Fantasy
2017	3731562	Kong: Skull Island	Action	Adventure	Fantasy
